date_published,title,authors,summary,url,category
2023-10-30 19:20:48+00:00,Topological Learning for Motion Data via Mixed Coordinates,"['Hengrui Luo', 'Jisu Kim', 'Alice Patania', 'Mikael Vejdemo-Johansson']","Topology can extract the structural information in a dataset efficiently. In
this paper, we attempt to incorporate topological information into a multiple
output Gaussian process model for transfer learning purposes. To achieve this
goal, we extend the framework of circular coordinates into a novel framework of
mixed valued coordinates to take linear trends in the time series into
consideration.
  One of the major challenges to learn from multiple time series effectively
via a multiple output Gaussian process model is constructing a functional
kernel. We propose to use topologically induced clustering to construct a
cluster based kernel in a multiple output Gaussian process model. This kernel
not only incorporates the topological structural information, but also allows
us to put forward a unified framework using topological information in time and
motion series.",http://arxiv.org/pdf/2310.19960v1,cs.LG
2023-10-30 06:10:00+00:00,AMLNet: Adversarial Mutual Learning Neural Network for Non-AutoRegressive Multi-Horizon Time Series Forecasting,['Yang Lin'],"Multi-horizon time series forecasting, crucial across diverse domains,
demands high accuracy and speed. While AutoRegressive (AR) models excel in
short-term predictions, they suffer speed and error issues as the horizon
extends. Non-AutoRegressive (NAR) models suit long-term predictions but
struggle with interdependence, yielding unrealistic results. We introduce
AMLNet, an innovative NAR model that achieves realistic forecasts through an
online Knowledge Distillation (KD) approach. AMLNet harnesses the strengths of
both AR and NAR models by training a deep AR decoder and a deep NAR decoder in
a collaborative manner, serving as ensemble teachers that impart knowledge to a
shallower NAR decoder. This knowledge transfer is facilitated through two key
mechanisms: 1) outcome-driven KD, which dynamically weights the contribution of
KD losses from the teacher models, enabling the shallow NAR decoder to
incorporate the ensemble's diversity; and 2) hint-driven KD, which employs
adversarial training to extract valuable insights from the model's hidden
states for distillation. Extensive experimentation showcases AMLNet's
superiority over conventional AR and NAR models, thereby presenting a promising
avenue for multi-horizon time series forecasting that enhances accuracy and
expedites computation.",http://arxiv.org/pdf/2310.19289v1,cs.LG
2023-10-28 12:08:03+00:00,Clairvoyance: A Pipeline Toolkit for Medical Time Series,"['Daniel Jarrett', 'Jinsung Yoon', 'Ioana Bica', 'Zhaozhi Qian', 'Ari Ercole', 'Mihaela van der Schaar']","Time-series learning is the bread and butter of data-driven *clinical
decision support*, and the recent explosion in ML research has demonstrated
great potential in various healthcare settings. At the same time, medical
time-series problems in the wild are challenging due to their highly
*composite* nature: They entail design choices and interactions among
components that preprocess data, impute missing values, select features, issue
predictions, estimate uncertainty, and interpret models. Despite exponential
growth in electronic patient data, there is a remarkable gap between the
potential and realized utilization of ML for clinical research and decision
support. In particular, orchestrating a real-world project lifecycle poses
challenges in engineering (i.e. hard to build), evaluation (i.e. hard to
assess), and efficiency (i.e. hard to optimize). Designed to address these
issues simultaneously, Clairvoyance proposes a unified, end-to-end,
autoML-friendly pipeline that serves as a (i) software toolkit, (ii) empirical
standard, and (iii) interface for optimization. Our ultimate goal lies in
facilitating transparent and reproducible experimentation with complex
inference workflows, providing integrated pathways for (1) personalized
prediction, (2) treatment-effect estimation, and (3) information acquisition.
Through illustrative examples on real-world data in outpatient, general wards,
and intensive-care settings, we illustrate the applicability of the pipeline
paradigm on core tasks in the healthcare journey. To the best of our knowledge,
Clairvoyance is the first to demonstrate viability of a comprehensive and
automatable pipeline for clinical time-series ML.",http://arxiv.org/pdf/2310.18688v1,cs.LG
2023-10-28 09:47:02+00:00,Causal discovery in a complex industrial system: A time series benchmark,"['Søren Wengel Mogensen', 'Karin Rathsman', 'Per Nilsson']","Causal discovery outputs a causal structure, represented by a graph, from
observed data. For time series data, there is a variety of methods, however, it
is difficult to evaluate these on real data as realistic use cases very rarely
come with a known causal graph to which output can be compared. In this paper,
we present a dataset from an industrial subsystem at the European Spallation
Source along with its causal graph which has been constructed from expert
knowledge. This provides a testbed for causal discovery from time series
observations of complex systems, and we believe this can help inform the
development of causal discovery methodology.",http://arxiv.org/pdf/2310.18654v1,stat.ML
2023-10-26 20:07:25+00:00,Novel Models for Multiple Dependent Heteroskedastic Time Series,"['Fangyijie Wang', 'Michael Salter-Townshend']","Functional magnetic resonance imaging or functional MRI (fMRI) is a very
popular tool used for differing brain regions by measuring brain activity. It
is affected by physiological noise, such as head and brain movement in the
scanner from breathing, heart beats, or the subject fidgeting. The purpose of
this paper is to propose a novel approach to handling fMRI data for infants
with high volatility caused by sudden head movements. Another purpose is to
evaluate the volatility modelling performance of multiple dependent fMRI time
series data. The models examined in this paper are AR and GARCH and the
modelling performance is evaluated by several statistical performance measures.
The conclusions of this paper are that multiple dependent fMRI series data can
be fitted with AR + GARCH model if the multiple fMRI data have many sudden head
movements. The GARCH model can capture the shared volatility clustering caused
by head movements across brain regions. However, the multiple fMRI data without
many head movements have fitted AR + GARCH model with different performance.
The conclusions are supported by statistical tests and measures. This paper
highlights the difference between the proposed approach from traditional
approaches when estimating model parameters and modelling conditional variances
on multiple dependent time series. In the future, the proposed approach can be
applied to other research fields, such as financial economics, and signal
processing. Code is available at \url{https://github.com/13204942/STAT40710}.",http://arxiv.org/pdf/2310.17760v1,stat.ME
2023-10-26 19:43:16+00:00,Making the End-User a Priority in Benchmarking: OrionBench for Unsupervised Time Series Anomaly Detection,"['Sarah Alnegheimish', 'Laure Berti-Equille', 'Kalyan Veeramachaneni']","Time series anomaly detection is a prevalent problem in many application
domains such as patient monitoring in healthcare, forecasting in finance, or
predictive maintenance in energy. This has led to the emergence of a plethora
of anomaly detection methods, including more recently, deep learning based
methods. Although several benchmarks have been proposed to compare newly
developed models, they usually rely on one-time execution over a limited set of
datasets and the comparison is restricted to a few models. We propose
OrionBench -- a user centric continuously maintained benchmark for unsupervised
time series anomaly detection. The framework provides universal abstractions to
represent models, extensibility to add new pipelines and datasets,
hyperparameter standardization, pipeline verification, and frequent releases
with published benchmarks. We demonstrate the usage of OrionBench, and the
progression of pipelines across 15 releases published over the course of three
years. Moreover, we walk through two real scenarios we experienced with
OrionBench that highlight the importance of continuous benchmarks in
unsupervised time series anomaly detection.",http://arxiv.org/pdf/2310.17748v1,cs.LG
2023-10-26 02:09:39+00:00,MIM-GAN-based Anomaly Detection for Multivariate Time Series Data,"['Shan Lu', 'Zhicheng Dong', 'Donghong Cai', 'Fang Fang', 'Dongcai Zhao']","The loss function of Generative adversarial network(GAN) is an important
factor that affects the quality and diversity of the generated samples for
anomaly detection. In this paper, we propose an unsupervised multiple time
series anomaly detection algorithm based on the GAN with message importance
measure(MIM-GAN). In particular, the time series data is divided into
subsequences using a sliding window. Then a generator and a discriminator
designed based on the Long Short-Term Memory (LSTM) are employed to capture the
temporal correlations of the time series data. To avoid the local optimal
solution of loss function and the model collapse, we introduce an exponential
information measure into the loss function of GAN. Additionally, a discriminant
reconstruction score consisting on discrimination and reconstruction loss is
taken into account. The global optimal solution for the loss function is
derived and the model collapse is proved to be avoided in our proposed
MIM-GAN-based anomaly detection algorithm. Experimental results show that the
proposed MIM-GAN-based anomaly detection algorithm has superior performance in
terms of precision, recall, and F1 score.",http://arxiv.org/pdf/2310.18257v1,cs.LG
2023-10-25 15:06:57+00:00,Interpretable time series neural representation for classification purposes,"['Etienne Le Naour', 'Ghislain Agoua', 'Nicolas Baskiotis', 'Vincent Guigue']","Deep learning has made significant advances in creating efficient
representations of time series data by automatically identifying complex
patterns. However, these approaches lack interpretability, as the time series
is transformed into a latent vector that is not easily interpretable. On the
other hand, Symbolic Aggregate approximation (SAX) methods allow the creation
of symbolic representations that can be interpreted but do not capture complex
patterns effectively. In this work, we propose a set of requirements for a
neural representation of univariate time series to be interpretable. We propose
a new unsupervised neural architecture that meets these requirements. The
proposed model produces consistent, discrete, interpretable, and visualizable
representations. The model is learned independently of any downstream tasks in
an unsupervised setting to ensure robustness. As a demonstration of the
effectiveness of the proposed model, we propose experiments on classification
tasks using UCR archive datasets. The obtained results are extensively compared
to other interpretable models and state-of-the-art neural representation
learning models. The experiments show that the proposed model yields, on
average better results than other interpretable approaches on multiple
datasets. We also present qualitative experiments to asses the interpretability
of the approach.",http://arxiv.org/pdf/2310.16696v1,cs.LG
2023-10-25 09:13:19+00:00,A Comprehensive Python Library for Deep Learning-Based Event Detection in Multivariate Time Series Data and Information Retrieval in NLP,"['Menouar Azib', 'Benjamin Renard', 'Philippe Garnier', 'Vincent Génot', 'Nicolas André']","Event detection in time series data is crucial in various domains, including
finance, healthcare, cybersecurity, and science. Accurately identifying events
in time series data is vital for making informed decisions, detecting
anomalies, and predicting future trends. Despite extensive research exploring
diverse methods for event detection in time series, with deep learning
approaches being among the most advanced, there is still room for improvement
and innovation in this field. In this paper, we present a new deep learning
supervised method for detecting events in multivariate time series data. Our
method combines four distinct novelties compared to existing deep-learning
supervised methods. Firstly, it is based on regression instead of binary
classification. Secondly, it does not require labeled datasets where each point
is labeled; instead, it only requires reference events defined as time points
or intervals of time. Thirdly, it is designed to be robust by using a stacked
ensemble learning meta-model that combines deep learning models, ranging from
classic feed-forward neural networks (FFNs) to state-of-the-art architectures
like transformers. This ensemble approach can mitigate individual model
weaknesses and biases, resulting in more robust predictions. Finally, to
facilitate practical implementation, we have developed a Python package to
accompany our proposed method. The package, called eventdetector-ts, can be
installed through the Python Package Index (PyPI). In this paper, we present
our method and provide a comprehensive guide on the usage of the package. We
showcase its versatility and effectiveness through different real-world use
cases from natural language processing (NLP) to financial security domains.",http://arxiv.org/pdf/2310.16485v1,cs.LG
2023-10-24 22:59:56+00:00,Attention-Based Ensemble Pooling for Time Series Forecasting,"['Dhruvit Patel', 'Alexander Wikner']","A common technique to reduce model bias in time-series forecasting is to use
an ensemble of predictive models and pool their output into an ensemble
forecast. In cases where each predictive model has different biases, however,
it is not always clear exactly how each model forecast should be weighed during
this pooling. We propose a method for pooling that performs a weighted average
over candidate model forecasts, where the weights are learned by an
attention-based ensemble pooling model. We test this method on two time-series
forecasting problems: multi-step forecasting of the dynamics of the
non-stationary Lorenz `63 equation, and one-step forecasting of the weekly
incident deaths due to COVID-19. We find that while our model achieves
excellent valid times when forecasting the non-stationary Lorenz `63 equation,
it does not consistently perform better than the existing ensemble pooling when
forecasting COVID-19 weekly incident deaths.",http://arxiv.org/pdf/2310.16231v1,cs.LG
2023-10-24 16:26:38+00:00,Graph Deep Learning for Time Series Forecasting,"['Andrea Cini', 'Ivan Marisca', 'Daniele Zambon', 'Cesare Alippi']","Graph-based deep learning methods have become popular tools to process
collections of correlated time series. Differently from traditional
multivariate forecasting methods, neural graph-based predictors take advantage
of pairwise relationships by conditioning forecasts on a (possibly dynamic)
graph spanning the time series collection. The conditioning can take the form
of an architectural inductive bias on the neural forecasting architecture,
resulting in a family of deep learning models called spatiotemporal graph
neural networks. Such relational inductive biases enable the training of global
forecasting models on large time-series collections, while at the same time
localizing predictions w.r.t. each element in the set (i.e., graph nodes) by
accounting for local correlations among them (i.e., graph edges). Indeed,
recent theoretical and practical advances in graph neural networks and deep
learning for time series forecasting make the adoption of such processing
frameworks appealing and timely. However, most of the studies in the literature
focus on proposing variations of existing neural architectures by taking
advantage of modern deep learning practices, while foundational and
methodological aspects have not been subject to systematic investigation. To
fill the gap, this paper aims to introduce a comprehensive methodological
framework that formalizes the forecasting problem and provides design
principles for graph-based predictive models and methods to assess their
performance. At the same time, together with an overview of the field, we
provide design guidelines, recommendations, and best practices, as well as an
in-depth discussion of open challenges and future research directions.",http://arxiv.org/pdf/2310.15978v1,cs.LG
2023-10-24 06:54:50+00:00,Transfer learning for day-ahead load forecasting: a case study on European national electricity demand time series,"['Alexandros-Menelaos Tzortzis', 'Sotiris Pelekis', 'Evangelos Spiliotis', 'Spiros Mouzakitis', 'John Psarras', 'Dimitris Askounis']","Short-term load forecasting (STLF) is crucial for the daily operation of
power grids. However, the non-linearity, non-stationarity, and randomness
characterizing electricity demand time series renders STLF a challenging task.
Various forecasting approaches have been proposed for improving STLF, including
neural network (NN) models which are trained using data from multiple
electricity demand series that may not necessary include the target series. In
the present study, we investigate the performance of this special case of STLF,
called transfer learning (TL), by considering a set of 27 time series that
represent the national day-ahead electricity demand of indicative European
countries. We employ a popular and easy-to-implement NN model and perform a
clustering analysis to identify similar patterns among the series and assist
TL. In this context, two different TL approaches, with and without the
clustering step, are compiled and compared against each other as well as a
typical NN training setup. Our results demonstrate that TL can outperform the
conventional approach, especially when clustering techniques are considered.",http://arxiv.org/pdf/2310.15555v1,cs.LG
2023-10-24 00:14:57+00:00,Nominality Score Conditioned Time Series Anomaly Detection by Point/Sequential Reconstruction,"['Chih-Yu Lai', 'Fan-Keng Sun', 'Zhengqi Gao', 'Jeffrey H. Lang', 'Duane S. Boning']","Time series anomaly detection is challenging due to the complexity and
variety of patterns that can occur. One major difficulty arises from modeling
time-dependent relationships to find contextual anomalies while maintaining
detection accuracy for point anomalies. In this paper, we propose a framework
for unsupervised time series anomaly detection that utilizes point-based and
sequence-based reconstruction models. The point-based model attempts to
quantify point anomalies, and the sequence-based model attempts to quantify
both point and contextual anomalies. Under the formulation that the observed
time point is a two-stage deviated value from a nominal time point, we
introduce a nominality score calculated from the ratio of a combined value of
the reconstruction errors. We derive an induced anomaly score by further
integrating the nominality score and anomaly score, then theoretically prove
the superiority of the induced anomaly score over the original anomaly score
under certain conditions. Extensive studies conducted on several public
datasets show that the proposed framework outperforms most state-of-the-art
baselines for time series anomaly detection.",http://arxiv.org/pdf/2310.15416v1,cs.LG
2023-10-23 14:00:02+00:00,XTSC-Bench: Quantitative Benchmarking for Explainers on Time Series Classification,"['Jacqueline Höllig', 'Steffen Thoma', 'Florian Grimm']","Despite the growing body of work on explainable machine learning in time
series classification (TSC), it remains unclear how to evaluate different
explainability methods. Resorting to qualitative assessment and user studies to
evaluate explainers for TSC is difficult since humans have difficulties
understanding the underlying information contained in time series data.
Therefore, a systematic review and quantitative comparison of explanation
methods to confirm their correctness becomes crucial. While steps to
standardized evaluations were taken for tabular, image, and textual data,
benchmarking explainability methods on time series is challenging due to a)
traditional metrics not being directly applicable, b) implementation and
adaption of traditional metrics for time series in the literature vary, and c)
varying baseline implementations. This paper proposes XTSC-Bench, a
benchmarking tool providing standardized datasets, models, and metrics for
evaluating explanation methods on TSC. We analyze 3 perturbation-, 6 gradient-
and 2 example-based explanation methods to TSC showing that improvements in the
explainers' robustness and reliability are necessary, especially for
multivariate data.",http://arxiv.org/pdf/2310.14957v1,cs.LG
2023-10-23 08:56:01+00:00,Extended Deep Adaptive Input Normalization for Preprocessing Time Series Data for Neural Networks,"['Marcus A. K. September', 'Francesco Sanna Passino', 'Leonie Goldmann', 'Anton Hinel']","Data preprocessing is a crucial part of any machine learning pipeline, and it
can have a significant impact on both performance and training efficiency. This
is especially evident when using deep neural networks for time series
prediction and classification: real-world time series data often exhibit
irregularities such as multi-modality, skewness and outliers, and the model
performance can degrade rapidly if these characteristics are not adequately
addressed. In this work, we propose the EDAIN (Extended Deep Adaptive Input
Normalization) layer, a novel adaptive neural layer that learns how to
appropriately normalize irregular time series data for a given task in an
end-to-end fashion, instead of using a fixed normalization scheme. This is
achieved by optimizing its unknown parameters simultaneously with the deep
neural network using back-propagation. Our experiments, conducted using
synthetic data, a credit default prediction dataset, and a large-scale limit
order book benchmark dataset, demonstrate the superior performance of the EDAIN
layer when compared to conventional normalization methods and existing adaptive
time series preprocessing layers.",http://arxiv.org/pdf/2310.14720v1,cs.LG
2023-10-22 16:17:24+00:00,Pyramidal Hidden Markov Model For Multivariate Time Series Forecasting,['YeXin Huang'],"The Hidden Markov Model (HMM) can predict the future value of a time series
based on its current and previous values, making it a powerful algorithm for
handling various types of time series. Numerous studies have explored the
improvement of HMM using advanced techniques, leading to the development of
several variations of HMM. Despite these studies indicating the increased
competitiveness of HMM compared to other advanced algorithms, few have
recognized the significance and impact of incorporating multistep stochastic
states into its performance. In this work, we propose a Pyramidal Hidden Markov
Model (PHMM) that can capture multiple multistep stochastic states. Initially,
a multistep HMM is designed for extracting short multistep stochastic states.
Next, a novel time series forecasting structure is proposed based on PHMM,
which utilizes pyramid-like stacking to adaptively identify long multistep
stochastic states. By employing these two schemes, our model can effectively
handle non-stationary and noisy data, while also establishing long-term
dependencies for more accurate and comprehensive forecasting. The experimental
results on diverse multivariate time series datasets convincingly demonstrate
the superior performance of our proposed PHMM compared to its competitive peers
in time series forecasting.",http://arxiv.org/pdf/2310.14341v1,cs.LG
2023-10-21 13:59:31+00:00,Contrast Everything: A Hierarchical Contrastive Framework for Medical Time-Series,"['Yihe Wang', 'Yu Han', 'Haishuai Wang', 'Xiang Zhang']","Contrastive representation learning is crucial in medical time series
analysis as it alleviates dependency on labor-intensive, domain-specific, and
scarce expert annotations. However, existing contrastive learning methods
primarily focus on one single data level, which fails to fully exploit the
intricate nature of medical time series. To address this issue, we present
COMET, an innovative hierarchical framework that leverages data consistencies
at all inherent levels in medical time series. Our meticulously designed model
systematically captures data consistency from four potential levels:
observation, sample, trial, and patient levels. By developing contrastive loss
at multiple levels, we can learn effective representations that preserve
comprehensive data consistency, maximizing information utilization in a
self-supervised manner. We conduct experiments in the challenging
patient-independent setting. We compare COMET against six baselines using three
diverse datasets, which include ECG signals for myocardial infarction and EEG
signals for Alzheimer's and Parkinson's diseases. The results demonstrate that
COMET consistently outperforms all baselines, particularly in setup with 10%
and 1% labeled data fractions across all datasets. These results underscore the
significant impact of our framework in advancing contrastive representation
learning techniques for medical time series. The source code is available at
https://github.com/DL4mHealth/COMET.",http://arxiv.org/pdf/2310.14017v3,cs.LG
